"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"BUSS32014-hba34011-Weekday-02",1,1,1,1,1,0,0,"20140807","20140828"
"BUSS32014-hba34no1-Weekday-02",1,1,1,1,1,0,0,"20140808","20140829"
"BUSS42014-hba44011-Weekday-02",1,1,1,1,1,0,0,"20140902","20141223"
"BUSS42014-hba44no1-Weekday-02",1,1,1,1,1,0,0,"20140905","20141219"
"BUSS42014-hba44ns1-Weekday-02",1,1,1,1,1,0,0,"20141013","20141224"
"BUSS42014-hba44os1-Weekday-02",1,1,1,1,1,0,0,"20141128","20141226"
"BUSS32014-hbb34011-Weekday-02",1,1,1,1,1,0,0,"20140807","20140828"
"BUSS32014-hbb34no1-Weekday-02",1,1,1,1,1,0,0,"20140808","20140829"
"BUSS32014-hbb34no6-Saturday-02",0,0,0,0,0,1,0,"20140809","20140823"
"BUSS32014-hbb34017-Sunday-02",0,0,0,0,0,0,1,"20140810","20140824"
"BUSS42014-hbb44no6-Saturday-02",0,0,0,0,0,1,0,"20140830","20141220"
"BUSS42014-hbb44017-Sunday-02",0,0,0,0,0,0,1,"20140831","20141221"
"BUSS42014-hbb44hl7-Sunday-02",0,0,0,0,0,0,1,"20140901","20141225"
"BUSS42014-hbb44011-Weekday-02",1,1,1,1,1,0,0,"20140902","20141223"
"BUSS42014-hbb44no1-Weekday-02",1,1,1,1,1,0,0,"20140905","20141219"
"BUSS42014-hbb44ns1-Weekday-02",1,1,1,1,1,0,0,"20141013","20141224"
"BUSS42014-hbb44os1-Weekday-02",1,1,1,1,1,0,0,"20141128","20141226"
"BUSN32014-htt34011-Weekday-02",1,1,1,1,1,0,0,"20140807","20140828"
"BUSN32014-htt34no1-Weekday-02",1,1,1,1,1,0,0,"20140808","20140829"
"BUSN32014-htt34no6-Saturday-02",0,0,0,0,0,1,0,"20140809","20140823"
"BUSN42014-htt44no6-Saturday-02",0,0,0,0,0,1,0,"20140830","20141220"
"BUSN42014-htt44011-Weekday-02",1,1,1,1,1,0,0,"20140902","20141223"
"BUSN42014-htt44no1-Weekday-02",1,1,1,1,1,0,0,"20140905","20141219"
"BUSN42014-htt44ns1-Weekday-02",1,1,1,1,1,0,0,"20141013","20141224"
"BUSN42014-htt44os1-Weekday-02",1,1,1,1,1,0,0,"20141128","20141226"
"RTL32014-hmb34011-Weekday-01",1,1,1,1,1,0,0,"20140807","20140828"
"RTL32014-hmb34no1-Weekday-01",1,1,1,1,1,0,0,"20140808","20140829"
"RTL32014-hmb34no6-Saturday-01",0,0,0,0,0,1,0,"20140809","20140823"
"RTL32014-hmb34017-Sunday-01",0,0,0,0,0,0,1,"20140810","20140824"
"RTL42014-hmb44no6-Saturday-01",0,0,0,0,0,1,0,"20140830","20141220"
"RTL42014-hmb44017-Sunday-01",0,0,0,0,0,0,1,"20140831","20141221"
"RTL42014-hmb44lb7-Sunday-01",0,0,0,0,0,0,1,"20140901","20140901"
"RTL42014-hmb44011-Weekday-01",1,1,1,1,1,0,0,"20140902","20141224"
"RTL42014-hmb44no1-Weekday-01",1,1,1,1,1,0,0,"20140905","20141226"
"RTL42014-hmb44cl1-Weekday-01",1,1,1,1,1,0,0,"20141013","20141013"
"RTL42014-hmb44vt1-Weekday-01",1,1,1,1,1,0,0,"20141111","20141111"
"RTL42014-hmb44th7-Sunday-01",0,0,0,0,0,0,1,"20141127","20141127"
"RTL42014-hmb44xm7-Sunday-01",0,0,0,0,0,0,1,"20141225","20141225"
"BUSS32014-hbc34011-Weekday-02",1,1,1,1,1,0,0,"20140807","20140828"
"BUSS32014-hbc34no1-Weekday-02",1,1,1,1,1,0,0,"20140808","20140829"
"BUSS32014-hbc34no6-Saturday-02",0,0,0,0,0,1,0,"20140809","20140823"
"BUSS32014-hbc34017-Sunday-02",0,0,0,0,0,0,1,"20140810","20140824"
