"service_id","date","exception_type"
"BUSS32014-hba34011-Weekday-02","20140808",2
"BUSS32014-hba34011-Weekday-02","20140815",2
"BUSS32014-hba34011-Weekday-02","20140822",2
"BUSS32014-hba34no1-Weekday-02","20140811",2
"BUSS32014-hba34no1-Weekday-02","20140812",2
"BUSS32014-hba34no1-Weekday-02","20140813",2
"BUSS32014-hba34no1-Weekday-02","20140814",2
"BUSS32014-hba34no1-Weekday-02","20140818",2
"BUSS32014-hba34no1-Weekday-02","20140819",2
"BUSS32014-hba34no1-Weekday-02","20140820",2
"BUSS32014-hba34no1-Weekday-02","20140821",2
"BUSS32014-hba34no1-Weekday-02","20140825",2
"BUSS32014-hba34no1-Weekday-02","20140826",2
"BUSS32014-hba34no1-Weekday-02","20140827",2
"BUSS32014-hba34no1-Weekday-02","20140828",2
"BUSS42014-hba44011-Weekday-02","20140905",2
"BUSS42014-hba44011-Weekday-02","20140912",2
"BUSS42014-hba44011-Weekday-02","20140919",2
"BUSS42014-hba44011-Weekday-02","20140926",2
"BUSS42014-hba44011-Weekday-02","20141003",2
"BUSS42014-hba44011-Weekday-02","20141010",2
"BUSS42014-hba44011-Weekday-02","20141013",2
"BUSS42014-hba44011-Weekday-02","20141017",2
"BUSS42014-hba44011-Weekday-02","20141024",2
"BUSS42014-hba44011-Weekday-02","20141031",2
"BUSS42014-hba44011-Weekday-02","20141107",2
"BUSS42014-hba44011-Weekday-02","20141111",2
"BUSS42014-hba44011-Weekday-02","20141114",2
"BUSS42014-hba44011-Weekday-02","20141121",2
"BUSS42014-hba44011-Weekday-02","20141127",2
"BUSS42014-hba44011-Weekday-02","20141128",2
"BUSS42014-hba44011-Weekday-02","20141205",2
"BUSS42014-hba44011-Weekday-02","20141212",2
"BUSS42014-hba44011-Weekday-02","20141219",2
"BUSS42014-hba44no1-Weekday-02","20140908",2
"BUSS42014-hba44no1-Weekday-02","20140909",2
"BUSS42014-hba44no1-Weekday-02","20140910",2
"BUSS42014-hba44no1-Weekday-02","20140911",2
"BUSS42014-hba44no1-Weekday-02","20140915",2
"BUSS42014-hba44no1-Weekday-02","20140916",2
"BUSS42014-hba44no1-Weekday-02","20140917",2
"BUSS42014-hba44no1-Weekday-02","20140918",2
"BUSS42014-hba44no1-Weekday-02","20140922",2
"BUSS42014-hba44no1-Weekday-02","20140923",2
"BUSS42014-hba44no1-Weekday-02","20140924",2
"BUSS42014-hba44no1-Weekday-02","20140925",2
"BUSS42014-hba44no1-Weekday-02","20140929",2
"BUSS42014-hba44no1-Weekday-02","20140930",2
"BUSS42014-hba44no1-Weekday-02","20141001",2
"BUSS42014-hba44no1-Weekday-02","20141002",2
"BUSS42014-hba44no1-Weekday-02","20141006",2
"BUSS42014-hba44no1-Weekday-02","20141007",2
"BUSS42014-hba44no1-Weekday-02","20141008",2
"BUSS42014-hba44no1-Weekday-02","20141009",2
"BUSS42014-hba44no1-Weekday-02","20141013",2
"BUSS42014-hba44no1-Weekday-02","20141014",2
"BUSS42014-hba44no1-Weekday-02","20141015",2
"BUSS42014-hba44no1-Weekday-02","20141016",2
"BUSS42014-hba44no1-Weekday-02","20141020",2
"BUSS42014-hba44no1-Weekday-02","20141021",2
"BUSS42014-hba44no1-Weekday-02","20141022",2
"BUSS42014-hba44no1-Weekday-02","20141023",2
"BUSS42014-hba44no1-Weekday-02","20141027",2
"BUSS42014-hba44no1-Weekday-02","20141028",2
"BUSS42014-hba44no1-Weekday-02","20141029",2
"BUSS42014-hba44no1-Weekday-02","20141030",2
"BUSS42014-hba44no1-Weekday-02","20141103",2
"BUSS42014-hba44no1-Weekday-02","20141104",2
"BUSS42014-hba44no1-Weekday-02","20141105",2
"BUSS42014-hba44no1-Weekday-02","20141106",2
"BUSS42014-hba44no1-Weekday-02","20141110",2
"BUSS42014-hba44no1-Weekday-02","20141111",2
"BUSS42014-hba44no1-Weekday-02","20141112",2
"BUSS42014-hba44no1-Weekday-02","20141113",2
"BUSS42014-hba44no1-Weekday-02","20141117",2
"BUSS42014-hba44no1-Weekday-02","20141118",2
"BUSS42014-hba44no1-Weekday-02","20141119",2
"BUSS42014-hba44no1-Weekday-02","20141120",2
"BUSS42014-hba44no1-Weekday-02","20141124",2
"BUSS42014-hba44no1-Weekday-02","20141125",2
"BUSS42014-hba44no1-Weekday-02","20141126",2
"BUSS42014-hba44no1-Weekday-02","20141127",2
"BUSS42014-hba44no1-Weekday-02","20141128",2
"BUSS42014-hba44no1-Weekday-02","20141201",2
"BUSS42014-hba44no1-Weekday-02","20141202",2
"BUSS42014-hba44no1-Weekday-02","20141203",2
"BUSS42014-hba44no1-Weekday-02","20141204",2
"BUSS42014-hba44no1-Weekday-02","20141208",2
"BUSS42014-hba44no1-Weekday-02","20141209",2
"BUSS42014-hba44no1-Weekday-02","20141210",2
"BUSS42014-hba44no1-Weekday-02","20141211",2
"BUSS42014-hba44no1-Weekday-02","20141215",2
"BUSS42014-hba44no1-Weekday-02","20141216",2
"BUSS42014-hba44no1-Weekday-02","20141217",2
"BUSS42014-hba44no1-Weekday-02","20141218",2
"BUSS42014-hba44ns1-Weekday-02","20141014",2
"BUSS42014-hba44ns1-Weekday-02","20141015",2
"BUSS42014-hba44ns1-Weekday-02","20141016",2
"BUSS42014-hba44ns1-Weekday-02","20141017",2
"BUSS42014-hba44ns1-Weekday-02","20141020",2
"BUSS42014-hba44ns1-Weekday-02","20141021",2
"BUSS42014-hba44ns1-Weekday-02","20141022",2
"BUSS42014-hba44ns1-Weekday-02","20141023",2
"BUSS42014-hba44ns1-Weekday-02","20141024",2
"BUSS42014-hba44ns1-Weekday-02","20141027",2
"BUSS42014-hba44ns1-Weekday-02","20141028",2
"BUSS42014-hba44ns1-Weekday-02","20141029",2
"BUSS42014-hba44ns1-Weekday-02","20141030",2
"BUSS42014-hba44ns1-Weekday-02","20141031",2
"BUSS42014-hba44ns1-Weekday-02","20141103",2
"BUSS42014-hba44ns1-Weekday-02","20141104",2
"BUSS42014-hba44ns1-Weekday-02","20141105",2
"BUSS42014-hba44ns1-Weekday-02","20141106",2
"BUSS42014-hba44ns1-Weekday-02","20141107",2
"BUSS42014-hba44ns1-Weekday-02","20141110",2
"BUSS42014-hba44ns1-Weekday-02","20141112",2
"BUSS42014-hba44ns1-Weekday-02","20141113",2
"BUSS42014-hba44ns1-Weekday-02","20141114",2
"BUSS42014-hba44ns1-Weekday-02","20141117",2
"BUSS42014-hba44ns1-Weekday-02","20141118",2
"BUSS42014-hba44ns1-Weekday-02","20141119",2
"BUSS42014-hba44ns1-Weekday-02","20141120",2
"BUSS42014-hba44ns1-Weekday-02","20141121",2
"BUSS42014-hba44ns1-Weekday-02","20141124",2
"BUSS42014-hba44ns1-Weekday-02","20141125",2
"BUSS42014-hba44ns1-Weekday-02","20141126",2
"BUSS42014-hba44ns1-Weekday-02","20141127",2
"BUSS42014-hba44ns1-Weekday-02","20141128",2
"BUSS42014-hba44ns1-Weekday-02","20141201",2
"BUSS42014-hba44ns1-Weekday-02","20141202",2
"BUSS42014-hba44ns1-Weekday-02","20141203",2
"BUSS42014-hba44ns1-Weekday-02","20141204",2
"BUSS42014-hba44ns1-Weekday-02","20141205",2
"BUSS42014-hba44ns1-Weekday-02","20141208",2
"BUSS42014-hba44ns1-Weekday-02","20141209",2
"BUSS42014-hba44ns1-Weekday-02","20141210",2
"BUSS42014-hba44ns1-Weekday-02","20141211",2
"BUSS42014-hba44ns1-Weekday-02","20141212",2
"BUSS42014-hba44ns1-Weekday-02","20141215",2
"BUSS42014-hba44ns1-Weekday-02","20141216",2
"BUSS42014-hba44ns1-Weekday-02","20141217",2
"BUSS42014-hba44ns1-Weekday-02","20141218",2
"BUSS42014-hba44ns1-Weekday-02","20141219",2
"BUSS42014-hba44ns1-Weekday-02","20141222",2
"BUSS42014-hba44ns1-Weekday-02","20141223",2
"BUSS42014-hba44os1-Weekday-02","20141201",2
"BUSS42014-hba44os1-Weekday-02","20141202",2
"BUSS42014-hba44os1-Weekday-02","20141203",2
"BUSS42014-hba44os1-Weekday-02","20141204",2
"BUSS42014-hba44os1-Weekday-02","20141205",2
"BUSS42014-hba44os1-Weekday-02","20141208",2
"BUSS42014-hba44os1-Weekday-02","20141209",2
"BUSS42014-hba44os1-Weekday-02","20141210",2
"BUSS42014-hba44os1-Weekday-02","20141211",2
"BUSS42014-hba44os1-Weekday-02","20141212",2
"BUSS42014-hba44os1-Weekday-02","20141215",2
"BUSS42014-hba44os1-Weekday-02","20141216",2
"BUSS42014-hba44os1-Weekday-02","20141217",2
"BUSS42014-hba44os1-Weekday-02","20141218",2
"BUSS42014-hba44os1-Weekday-02","20141219",2
"BUSS42014-hba44os1-Weekday-02","20141222",2
"BUSS42014-hba44os1-Weekday-02","20141223",2
"BUSS42014-hba44os1-Weekday-02","20141224",2
"BUSS42014-hba44os1-Weekday-02","20141225",2
"BUSS32014-hbb34011-Weekday-02","20140808",2
"BUSS32014-hbb34011-Weekday-02","20140815",2
"BUSS32014-hbb34011-Weekday-02","20140822",2
"BUSS32014-hbb34no1-Weekday-02","20140811",2
"BUSS32014-hbb34no1-Weekday-02","20140812",2
"BUSS32014-hbb34no1-Weekday-02","20140813",2
"BUSS32014-hbb34no1-Weekday-02","20140814",2
"BUSS32014-hbb34no1-Weekday-02","20140818",2
"BUSS32014-hbb34no1-Weekday-02","20140819",2
"BUSS32014-hbb34no1-Weekday-02","20140820",2
"BUSS32014-hbb34no1-Weekday-02","20140821",2
"BUSS32014-hbb34no1-Weekday-02","20140825",2
"BUSS32014-hbb34no1-Weekday-02","20140826",2
"BUSS32014-hbb34no1-Weekday-02","20140827",2
"BUSS32014-hbb34no1-Weekday-02","20140828",2
"BUSS42014-hbb44hl7-Sunday-02","20140907",2
