"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"01","1","1",,,3,,"FFFF7C","000000"
"04","1","4",,,3,,"FFFF7C","000000"
"05","1","5",,,3,,"FFFF7C","000000"
"07","1","7",,,3,,"FFFF7C","000000"
"08","1","8",,,3,,"FFFF7C","000000"
"09","1","9",,,3,,"FFFF7C","000000"
"10","1","10",,,3,,"FFFF7C","000000"
"100","1","100",,,3,,"FFFF7C","000000"
"101","1","101",,,3,,"FFFF7C","000000"
"104","1","104",,,3,,"FFFF7C","000000"
"105","1","105",,,3,,"FFFF7C","000000"
"106","1","106",,,3,,"FFFF7C","000000"
"108","1","108",,,3,,"FFFF7C","000000"
"109","1","109",,,3,,"FFFF7C","000000"
"11","1","11",,,3,,"FFFF7C","000000"
"110","1","110",,,3,,"FFFF7C","000000"
"111","1","111",,,3,,"FFFF7C","000000"
"112","1","112",,,3,,"FFFF7C","000000"
"114","1","114",,,3,,"FFFF7C","000000"
"116","1","116",,,3,,"FFFF7C","000000"
"116117","1","116/117",,,3,,"FFFF7C","000000"
"117","1","117",,,3,,"FFFF7C","000000"
"119","1","119",,,3,,"FFFF7C","000000"
"120","1","120",,,3,,"FFFF7C","000000"
"121","1","121",,,3,,"FFFF7C","000000"
"131","1","131",,,3,,"FFFF7C","000000"
"132","1","132",,,3,,"FFFF7C","000000"
"134","1","134",,,3,,"FFFF7C","000000"
"136","1","136",,,3,,"FFFF7C","000000"
"137","1","137",,,3,,"FFFF7C","000000"
"14","1","14",,,3,,"FFFF7C","000000"
"15","1","15",,,3,,"FFFF7C","000000"
"16","1","16",,,3,,"FFFF7C","000000"
"17","1","17",,,3,,"FFFF7C","000000"
"170","1","170",,,3,,"FFFF7C","000000"
"171","1","171",,,3,,"FFFF7C","000000"
"18","1","18",,,3,,"FFFF7C","000000"
"19","1","19",,,3,,"FFFF7C","000000"
"201","1","201",,,3,,"FFFF7C","000000"
"202","1","202",,,3,,"FFFF7C","000000"
"21","1","21",,,3,,"FFFF7C","000000"
"210","1","210",,,3,,"FFFF7C","000000"
"211","1","211",,,3,,"FFFF7C","000000"
"212","1","212",,,3,,"FFFF7C","000000"
"214","1","214",,,3,,"FFFF7C","000000"
"214216","1","214/216",,,3,,"FFFF7C","000000"
"215","1","215",,,3,,"FFFF7C","000000"
"216","1","216",,,3,,"FFFF7C","000000"
"217","1","217",,,3,,"FFFF7C","000000"
