"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"place-alfcl","","Alewife","","42.395428","-71.142483","","",1,""
"place-alsgr","","Allston Street","","42.348701","-71.137955","","",1,""
"place-andrw","","Andrew","","42.330154","-71.057655","","",1,""
"place-aport","","Airport","","42.374262","-71.030395","","",1,""
"place-aqucl","","Aquarium","","42.359784","-71.051652","","",1,""
"place-armnl","","Arlington","","42.351902","-71.070893","","",1,""
"place-asmnl","","Ashmont","","42.284652","-71.064489","","",1,""
"place-astao","","Assembly","","42.392811","-71.077257","","",1,""
"place-babck","","Babcock Street","","42.35182","-71.12165","","",1,""
"place-bbsta","","Back Bay","","42.34735","-71.075727","","",1,""
"place-bckhl","","Back of the Hill","","42.330139","-71.111313","","",1,""
"place-bcnfd","","Beaconsfield","","42.335846","-71.140823","","",1,""
"place-bcnwa","","Washington Square","","42.339394","-71.13533","","",1,""
"place-bland","","Blandford Street","","42.349293","-71.100258","","",1,""
"place-bmmnl","","Beachmont","","42.39754234","-70.99231944","","",1,""
"place-bndhl","","Brandon Hall","","42.340023","-71.129082","","",1,""
"place-bomnl","","Bowdoin","","42.361365","-71.062037","","",1,""
"place-boyls","","Boylston","","42.35302","-71.06459","","",1,""
"place-brdwy","","Broadway","","42.342622","-71.056967","","",1,""
"place-brico","","Packards Corner","","42.351967","-71.125031","","",1,""
"place-brkhl","","Brookline Hills","","42.331333","-71.126999","","",1,""
"place-brmnl","","Brigham Circle","","42.334229","-71.104609","","",1,""
"place-brntn","","Braintree","","42.2078543","-71.0011385","","",1,""
"place-bucen","","Boston Univ. Central","","42.350082","-71.106865","","",1,""
"place-buest","","Boston Univ. East","","42.349735","-71.103889","","",1,""
"place-butlr","","Butler","","42.272343","-71.062584","","",1,""
"place-buwst","","Boston Univ. West","","42.350941","-71.113876","","",1,""
"place-bvmnl","","Brookline Village","","42.332774","-71.116296","","",1,""
"place-capst","","Capen Street","","42.267712","-71.087753","","",1,""
"place-ccmnl","","Community College","","42.373622","-71.069533","","",1,""
"place-cedgr","","Cedar Grove","","42.279682","-71.060432","","",1,""
"place-cenav","","Central Ave.","","42.270027","-71.073334","","",1,""
"place-chhil","","Chestnut Hill","","42.326653","-71.165314","","",1,""
