"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"70020","70196",2,240
"70020","70197",2,240
"70020","70198",2,240
"70020","70199",2,240
"70020","70200",2,180
"70021","70196",2,240
"70021","70197",2,240
"70021","70198",2,240
"70021","70199",2,240
"70021","70200",2,180
"70154","70155",3,
"70155","70154",3,
"70196","70020",2,240
"70196","70021",2,240
"70197","70020",2,240
"70197","70021",2,240
"70198","70020",2,240
"70198","70021",2,240
"70199","70020",2,240
"70199","70021",2,240
"70200","70020",2,180
"70200","70021",2,180
